site,population,endpoint,method,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,forecast_target_pairs,strata,min_events_per_stratum,min_cases_per_stratum,wis_kw,width90_kw
colorado,exclude_bright_zero,failure_recovery,physical_availability,0.05666120796796564,0.12561924132748756,0.5532538123843349,0.8321559040162549,0.9271200793913728,0.43000016442192796,24646,28,46,859,0.05666120796796564,0.43000016442192796
colorado,exclude_bright_zero,failure_recovery,physical_recovery,0.05668776187064153,0.12561924132748756,0.550553492370323,0.830834838361543,0.9263385110762481,0.42981055362687254,24646,28,46,859,0.05668776187064153,0.42981055362687254
colorado,exclude_bright_zero,failure_recovery,previous_day,0.025338195578841736,0.011067728907084153,0.9699445068172599,0.9794529055618961,0.9837202008317149,0.4164188850254269,24646,28,46,859,0.025338195578841736,0.4164188850254269
colorado,exclude_bright_zero,failure_recovery,raw,0.06923749237590218,0.12561924132748756,0.06834424657728817,0.15341415728295912,0.32058959146514254,0.3726213397950416,24646,28,46,859,0.06923749237590218,0.3726213397950416
colorado,exclude_bright_zero,failure_recovery,recency,0.057682762056349715,0.12561924132748756,0.5045353636698203,0.7932494418214562,0.9030569751276397,0.42968150025832236,24646,28,46,859,0.057682762056349715,0.42968150025832236
colorado,exclude_bright_zero,failure_recovery,rolling,0.05771138359564958,0.12561924132748756,0.5031963858685089,0.7945425376802911,0.9043026253071762,0.43001298801787147,24646,28,46,859,0.05771138359564958,0.43001298801787147
colorado,exclude_bright_zero,failure_recovery,single_imputation,0.07766234688150395,0.11588521851077997,0.5453737191669339,0.6844695563298518,0.7438814824302147,0.2471633490111494,24646,28,46,859,0.07766234688150395,0.2471633490111494
colorado,exclude_bright_zero,outage,aci_bounded,0.07610412601222008,0.16811724280843823,0.49955501801285696,0.8047335822779458,0.929591911478623,0.5108392359495915,5865,20,43,291,0.07610412601222008,0.5108392359495915
colorado,exclude_bright_zero,outage,carry_forward,0.0822142978090297,0.13820207838670084,0.0501391473721106,0.11900709598994752,0.3345162994329297,0.4318617880806899,5865,20,43,291,0.0822142978090297,0.4318617880806899
colorado,exclude_bright_zero,outage,geometric_persistence,0.03601971218606006,0.035857722493522225,0.9846610284733227,0.9940385783785273,0.9948947427620889,0.4539493386081892,5865,20,43,291,0.03601971218606006,0.4539493386081892
colorado,exclude_bright_zero,outage,mask50,0.076126941158973,0.16811724280843823,0.4801185847408241,0.7803568928785825,0.9198280747985939,0.5096991161252918,5865,20,43,291,0.076126941158973,0.5096991161252918
colorado,exclude_bright_zero,outage,mi_recency,0.12654805604635733,0.20729094515382993,0.2248031880134782,0.44588617685357723,0.5879565436143801,0.4069726040888658,5865,20,43,291,0.12654805604635733,0.4069726040888658
colorado,exclude_bright_zero,outage,multiple_imputation,0.13354400827142232,0.20729094515382993,0.3035137195601759,0.4600857271925369,0.567475626546119,0.35970533995608756,5865,20,43,291,0.13354400827142232,0.35970533995608756
colorado,exclude_bright_zero,outage,persistence,0.04810591194249941,0.07495125523735381,0.987200694540386,0.9948947427620889,0.9948947427620889,0.4910788598684642,5865,20,43,291,0.04810591194249941,0.4910788598684642
colorado,exclude_bright_zero,outage,physical,0.0753545301836108,0.16811724280843823,0.4948506329728516,0.8027976350041104,0.9346978993082914,0.5089992324543872,5865,20,43,291,0.0753545301836108,0.5089992324543872
colorado,exclude_bright_zero,outage,physical_availability,0.07534564596359086,0.16811724280843823,0.4996342464745628,0.8066524432186846,0.9310956703063724,0.5088875075830999,5865,20,43,291,0.07534564596359086,0.5088875075830999
colorado,exclude_bright_zero,outage,physical_recovery,0.07534564596359086,0.16811724280843823,0.4996342464745628,0.8066524432186846,0.9310956703063724,0.5088875075830999,5865,20,43,291,0.07534564596359086,0.5088875075830999
colorado,exclude_bright_zero,outage,previous_day,0.02365032014408259,0.0083540164542728,0.9718587808680607,0.9829486796232938,0.9863589436986351,0.41624811483642105,5865,20,43,291,0.02365032014408259,0.41624811483642105
colorado,exclude_bright_zero,outage,raw,0.08863574674802835,0.16811724280843823,0.05627380859883668,0.13545073838076,0.27020724125029233,0.4500978530357818,5865,20,43,291,0.08863574674802835,0.4500978530357818
colorado,exclude_bright_zero,outage,recency,0.07613328700305261,0.16811724280843823,0.4711073089140231,0.7805319877385837,0.9213627815053517,0.5097241914936798,5865,20,43,291,0.07613328700305261,0.5097241914936798
colorado,exclude_bright_zero,outage,rolling,0.0761661386229912,0.16811724280843823,0.47736807774321033,0.7868557186469238,0.9230820525474585,0.5101455795202632,5865,20,43,291,0.0761661386229912,0.5101455795202632
colorado,exclude_bright_zero,outage,single_imputation,0.15498166388446977,0.21238653293357257,0.27972594426214603,0.3854182255768448,0.43232852435138946,0.2833404149136742,5865,20,43,291,0.15498166388446977,0.2833404149136742
colorado,exclude_bright_zero,partial_restoration,aci_bounded,0.058566110026135695,0.12946066651705926,0.6045043143467294,0.852739099552232,0.9284113118680731,0.4415502771771609,2882,16,24,63,0.058566110026135695,0.4415502771771609
colorado,exclude_bright_zero,partial_restoration,carry_forward,0.07595042507871579,0.12527352027916014,0.05153655561748836,0.13882421220870572,0.3498552056831404,0.4106131305162695,2882,16,24,63,0.07595042507871579,0.4106131305162695
colorado,exclude_bright_zero,partial_restoration,geometric_persistence,0.03510463284052462,0.033897862607384685,0.9830204711545656,0.9923769985719567,0.9958462148885836,0.44930727279018595,2882,16,24,63,0.03510463284052462,0.44930727279018595
colorado,exclude_bright_zero,partial_restoration,mask50,0.05865305898593814,0.12946066651705926,0.5779613514324817,0.8285269697854857,0.9138459593171492,0.440563661694601,2882,16,24,63,0.05865305898593814,0.440563661694601
colorado,exclude_bright_zero,partial_restoration,mi_recency,0.07990449952273833,0.12983173865230743,0.40079301666393863,0.6566653900566797,0.7632699758370395,0.3144503141725935,2882,16,24,63,0.07990449952273833,0.3144503141725935
