site,case_id,method,horizon,recovery_hour_bin,n,nwis,coverage90,events
reserve10,joint_immediate,carry_forward,1,12,23,0.04141557419278734,0.782608695652174,23
reserve10,joint_immediate,carry_forward,1,13,23,0.03989425666382083,0.6956521739130435,23
reserve10,joint_immediate,carry_forward,1,14,23,0.043076893790213,0.7391304347826086,23
reserve10,joint_immediate,carry_forward,1,15,24,0.03243778477835476,0.7916666666666666,24
reserve10,joint_immediate,carry_forward,1,16,21,0.043076150516488804,0.8095238095238095,21
reserve10,joint_immediate,carry_forward,1,17,24,0.03108514088434312,0.7916666666666666,24
reserve10,joint_immediate,carry_forward,1,18,25,0.04113859370433876,0.8,25
reserve10,joint_immediate,carry_forward,1,19,24,0.04373071867004746,0.8333333333333334,24
reserve10,joint_immediate,carry_forward,1,20,25,0.047506340675655415,0.84,25
reserve10,joint_immediate,carry_forward,1,21,27,0.030090818414854052,0.8888888888888888,27
reserve10,joint_immediate,carry_forward,1,22,27,0.039897340991436596,0.7037037037037037,27
reserve10,joint_immediate,carry_forward,1,23,23,0.045498179088140356,0.782608695652174,23
reserve10,joint_immediate,carry_forward,2,0,24,0.04912457770500869,0.875,24
reserve10,joint_immediate,carry_forward,2,1,25,0.04776528200282401,1.0,25
reserve10,joint_immediate,carry_forward,2,2,22,0.044725498553096,0.8636363636363636,22
reserve10,joint_immediate,carry_forward,2,3,22,0.03971247991136479,0.9545454545454546,22
reserve10,joint_immediate,carry_forward,2,4,20,0.03666485466787213,0.85,20
reserve10,joint_immediate,carry_forward,2,5,17,0.05880200792400491,0.9411764705882353,17
reserve10,joint_immediate,carry_forward,2,6,19,0.04762782172917047,0.8947368421052632,19
reserve10,joint_immediate,carry_forward,2,7,20,0.05550245554071563,0.85,20
reserve10,joint_immediate,carry_forward,2,8,23,0.059920233703854964,0.9130434782608695,23
reserve10,joint_immediate,carry_forward,2,9,21,0.05603340019927462,0.9047619047619048,21
reserve10,joint_immediate,carry_forward,2,10,23,0.05113914925421455,0.6956521739130435,23
reserve10,joint_immediate,carry_forward,2,11,23,0.054036009941955586,0.8695652173913043,23
reserve10,joint_immediate,carry_forward,2,12,23,0.050495199368242656,0.7391304347826086,23
reserve10,joint_immediate,carry_forward,2,13,23,0.05900039014247985,0.7391304347826086,23
reserve10,joint_immediate,carry_forward,2,14,24,0.05325076708879966,0.8333333333333334,24
reserve10,joint_immediate,carry_forward,2,15,21,0.06603297654996167,0.7142857142857143,21
reserve10,joint_immediate,carry_forward,2,16,24,0.05204573958686253,0.75,24
reserve10,joint_immediate,carry_forward,2,17,25,0.05067979588713954,0.76,25
reserve10,joint_immediate,carry_forward,2,18,24,0.06467274686679077,0.7916666666666666,24
reserve10,joint_immediate,carry_forward,2,19,25,0.059277164123230586,0.88,25
reserve10,joint_immediate,carry_forward,2,20,27,0.050299698064634496,0.8148148148148148,27
reserve10,joint_immediate,carry_forward,2,21,27,0.04330136832898651,0.8148148148148148,27
reserve10,joint_immediate,carry_forward,2,22,23,0.06321500024194118,0.7391304347826086,23
reserve10,joint_immediate,carry_forward,2,23,23,0.06583555171152801,0.782608695652174,23
reserve10,joint_immediate,carry_forward,3,0,25,0.04589997555203519,0.88,25
reserve10,joint_immediate,carry_forward,3,1,22,0.047773930772035914,0.9090909090909091,22
reserve10,joint_immediate,carry_forward,3,2,22,0.0471578763243977,0.9545454545454546,22
reserve10,joint_immediate,carry_forward,3,3,20,0.04182503252809265,0.9,20
reserve10,joint_immediate,carry_forward,3,4,17,0.058391402234022276,0.9411764705882353,17
reserve10,joint_immediate,carry_forward,3,5,19,0.05886115583214293,0.8947368421052632,19
reserve10,joint_immediate,carry_forward,3,6,20,0.060159534680874024,0.75,20
reserve10,joint_immediate,carry_forward,3,7,23,0.05997107929133981,0.8695652173913043,23
reserve10,joint_immediate,carry_forward,3,8,21,0.06902973956749445,0.9047619047619048,21
reserve10,joint_immediate,carry_forward,3,9,23,0.05605802578755941,0.782608695652174,23
reserve10,joint_immediate,carry_forward,3,10,23,0.05541674687380777,0.6956521739130435,23
reserve10,joint_immediate,carry_forward,3,11,23,0.058192911154607264,0.6956521739130435,23
reserve10,joint_immediate,carry_forward,3,12,23,0.06464974584683515,0.782608695652174,23
reserve10,joint_immediate,carry_forward,3,13,24,0.06189633870281103,0.75,24
reserve10,joint_immediate,carry_forward,3,14,21,0.07509731144455431,0.7142857142857143,21
reserve10,joint_immediate,carry_forward,3,15,24,0.06125512447990946,0.7083333333333334,24
reserve10,joint_immediate,carry_forward,3,16,25,0.06521475190525834,0.72,25
reserve10,joint_immediate,carry_forward,3,17,24,0.07571335341611635,0.7083333333333334,24
reserve10,joint_immediate,carry_forward,3,18,25,0.06755093207402382,0.8,25
reserve10,joint_immediate,carry_forward,3,19,27,0.0551032331509791,0.8518518518518519,27
reserve10,joint_immediate,carry_forward,3,20,27,0.055506941452282056,0.7777777777777778,27
reserve10,joint_immediate,carry_forward,3,21,23,0.05995706353254252,0.8260869565217391,23
reserve10,joint_immediate,carry_forward,3,22,23,0.07195336335253445,0.6956521739130435,23
reserve10,joint_immediate,carry_forward,3,23,25,0.052729690285253844,0.68,25
reserve10,joint_immediate,carry_forward,4,0,22,0.04382972061770219,0.9545454545454546,22
reserve10,joint_immediate,carry_forward,4,1,22,0.047331114357110134,1.0,22
reserve10,joint_immediate,carry_forward,4,2,20,0.04368344191660716,0.9,20
reserve10,joint_immediate,carry_forward,4,3,17,0.058302109575343104,0.9411764705882353,17
reserve10,joint_immediate,carry_forward,4,4,19,0.060881716233321705,0.8421052631578947,19
reserve10,joint_immediate,carry_forward,4,5,20,0.06346481871505102,0.8,20
reserve10,joint_immediate,carry_forward,4,6,23,0.06452126681971164,0.8260869565217391,23
reserve10,joint_immediate,carry_forward,4,7,21,0.06968841185787913,0.9047619047619048,21
reserve10,joint_immediate,carry_forward,4,8,23,0.06269776073856188,0.782608695652174,23
reserve10,joint_immediate,carry_forward,4,9,23,0.05884022315757375,0.782608695652174,23
reserve10,joint_immediate,carry_forward,4,10,23,0.059063917342373456,0.6956521739130435,23
reserve10,joint_immediate,carry_forward,4,11,23,0.06541520356558927,0.6956521739130435,23
reserve10,joint_immediate,carry_forward,4,12,24,0.061485206545391156,0.7916666666666666,24
reserve10,joint_immediate,carry_forward,4,13,21,0.08076452162808548,0.7619047619047619,21
reserve10,joint_immediate,carry_forward,4,14,24,0.06609516345186052,0.6666666666666666,24
reserve10,joint_immediate,carry_forward,4,15,25,0.06897187857330221,0.72,25
reserve10,joint_immediate,carry_forward,4,16,24,0.07771905793690968,0.7083333333333334,24
reserve10,joint_immediate,carry_forward,4,17,25,0.07165575921183218,0.8,25
reserve10,joint_immediate,carry_forward,4,18,27,0.05838036144291769,0.8148148148148148,27
reserve10,joint_immediate,carry_forward,4,19,27,0.05499694387115938,0.8518518518518519,27
reserve10,joint_immediate,carry_forward,4,20,23,0.061571717319532523,0.8260869565217391,23
reserve10,joint_immediate,carry_forward,4,21,23,0.07172976955735734,0.7391304347826086,23
reserve10,joint_immediate,carry_forward,4,22,25,0.05890183890543115,0.76,25
reserve10,joint_immediate,carry_forward,4,23,25,0.045472149305630864,0.8,25
reserve10,joint_immediate,geometric_persistence,1,0,22,0.05364630743525982,0.9545454545454546,22
reserve10,joint_immediate,geometric_persistence,1,1,24,0.05796452023537955,0.9166666666666666,24
reserve10,joint_immediate,geometric_persistence,1,2,25,0.05453204376991968,0.96,25
reserve10,joint_immediate,geometric_persistence,1,3,22,0.03654581873057155,1.0,22
reserve10,joint_immediate,geometric_persistence,1,4,22,0.047626477559625346,0.9090909090909091,22
reserve10,joint_immediate,geometric_persistence,1,5,20,0.055268211954565064,0.9,20
reserve10,joint_immediate,geometric_persistence,1,6,17,0.04769357231498129,1.0,17
reserve10,joint_immediate,geometric_persistence,1,7,19,0.04718973712789298,1.0,19
reserve10,joint_immediate,geometric_persistence,1,8,20,0.05590616987012688,0.95,20
reserve10,joint_immediate,geometric_persistence,1,9,23,0.05118925982941448,0.9565217391304348,23
reserve10,joint_immediate,geometric_persistence,1,10,21,0.03723889485504012,1.0,21
reserve10,joint_immediate,geometric_persistence,1,11,23,0.05122884956823939,0.9130434782608695,23
reserve10,joint_immediate,geometric_persistence,1,12,23,0.056968974159102494,0.8695652173913043,23
reserve10,joint_immediate,geometric_persistence,1,13,23,0.049574646042932734,0.9565217391304348,23
reserve10,joint_immediate,geometric_persistence,1,14,23,0.0357743986012076,1.0,23
reserve10,joint_immediate,geometric_persistence,1,15,24,0.04053104806069658,0.9583333333333334,24
reserve10,joint_immediate,geometric_persistence,1,16,21,0.051168242553234586,0.9523809523809523,21
reserve10,joint_immediate,geometric_persistence,1,17,24,0.043544157052672894,0.9583333333333334,24
reserve10,joint_immediate,geometric_persistence,1,18,25,0.03970903553049656,1.0,25
reserve10,joint_immediate,geometric_persistence,1,19,24,0.04782387079115987,0.9583333333333334,24
reserve10,joint_immediate,geometric_persistence,1,20,25,0.05669162768188211,0.92,25
reserve10,joint_immediate,geometric_persistence,1,21,27,0.04299515626599887,0.9259259259259259,27
reserve10,joint_immediate,geometric_persistence,1,22,27,0.04764160820102559,0.9259259259259259,27
reserve10,joint_immediate,geometric_persistence,1,23,23,0.0601623392707459,0.9130434782608695,23
reserve10,joint_immediate,geometric_persistence,2,0,24,0.06598233727184967,1.0,24
reserve10,joint_immediate,geometric_persistence,2,1,25,0.08143359015130507,0.84,25
reserve10,joint_immediate,geometric_persistence,2,2,22,0.07190109106897823,0.9545454545454546,22
reserve10,joint_immediate,geometric_persistence,2,3,22,0.07185751197152028,0.9090909090909091,22
reserve10,joint_immediate,geometric_persistence,2,4,20,0.06292915091274048,0.9,20
reserve10,joint_immediate,geometric_persistence,2,5,17,0.08960266071644965,0.9411764705882353,17
reserve10,joint_immediate,geometric_persistence,2,6,19,0.07486292771625559,0.9473684210526315,19
reserve10,joint_immediate,geometric_persistence,2,7,20,0.06031025388741144,1.0,20
reserve10,joint_immediate,geometric_persistence,2,8,23,0.08452307025821834,0.9565217391304348,23
reserve10,joint_immediate,geometric_persistence,2,9,21,0.07434783404217271,0.9523809523809523,21
reserve10,joint_immediate,geometric_persistence,2,10,23,0.059364498707301226,0.9565217391304348,23
reserve10,joint_immediate,geometric_persistence,2,11,23,0.07681408206195901,0.9130434782608695,23
reserve10,joint_immediate,geometric_persistence,2,12,23,0.08716742603900726,0.9565217391304348,23
reserve10,joint_immediate,geometric_persistence,2,13,23,0.06486160001476837,0.9565217391304348,23
reserve10,joint_immediate,geometric_persistence,2,14,24,0.05764270163109095,0.9583333333333334,24
reserve10,joint_immediate,geometric_persistence,2,15,21,0.08764738928871091,0.9523809523809523,21
reserve10,joint_immediate,geometric_persistence,2,16,24,0.07675455816846664,1.0,24
reserve10,joint_immediate,geometric_persistence,2,17,25,0.06962102381988278,0.96,25
reserve10,joint_immediate,geometric_persistence,2,18,24,0.07373752399438581,0.9583333333333334,24
reserve10,joint_immediate,geometric_persistence,2,19,25,0.08555925267341925,0.96,25
reserve10,joint_immediate,geometric_persistence,2,20,27,0.07746886409433197,0.8888888888888888,27
reserve10,joint_immediate,geometric_persistence,2,21,27,0.06946911607215517,0.8888888888888888,27
reserve10,joint_immediate,geometric_persistence,2,22,23,0.09463310341348806,0.8695652173913043,23
reserve10,joint_immediate,geometric_persistence,2,23,23,0.07325220872335128,1.0,23
reserve10,joint_immediate,geometric_persistence,3,0,25,0.08127909676424934,0.84,25
reserve10,joint_immediate,geometric_persistence,3,1,22,0.09524832495069496,0.9545454545454546,22
reserve10,joint_immediate,geometric_persistence,3,2,22,0.08053495801440282,0.9545454545454546,22
reserve10,joint_immediate,geometric_persistence,3,3,20,0.09079985366077682,0.9,20
reserve10,joint_immediate,geometric_persistence,3,4,17,0.10930446270718915,0.9411764705882353,17
reserve10,joint_immediate,geometric_persistence,3,5,19,0.09714679018290934,0.9473684210526315,19
reserve10,joint_immediate,geometric_persistence,3,6,20,0.08029929721901838,1.0,20
reserve10,joint_immediate,geometric_persistence,3,7,23,0.08858808018910154,1.0,23
reserve10,joint_immediate,geometric_persistence,3,8,21,0.11146161906201854,0.9047619047619048,21
reserve10,joint_immediate,geometric_persistence,3,9,23,0.0854929551953653,0.8695652173913043,23
reserve10,joint_immediate,geometric_persistence,3,10,23,0.08765558402453964,1.0,23
reserve10,joint_immediate,geometric_persistence,3,11,23,0.10216353605640503,1.0,23
reserve10,joint_immediate,geometric_persistence,3,12,23,0.09899876749864164,0.9565217391304348,23
reserve10,joint_immediate,geometric_persistence,3,13,24,0.08270825285574933,0.9166666666666666,24
reserve10,joint_immediate,geometric_persistence,3,14,21,0.1037509310226787,0.9047619047619048,21
reserve10,joint_immediate,geometric_persistence,3,15,24,0.1125005257089821,0.875,24
reserve10,joint_immediate,geometric_persistence,3,16,25,0.09914219422869466,0.96,25
reserve10,joint_immediate,geometric_persistence,3,17,24,0.10568539520169151,0.9166666666666666,24
reserve10,joint_immediate,geometric_persistence,3,18,25,0.10232815612694257,0.96,25
reserve10,joint_immediate,geometric_persistence,3,19,27,0.10715909512984485,0.8518518518518519,27
reserve10,joint_immediate,geometric_persistence,3,20,27,0.09018545881377778,0.9259259259259259,27
reserve10,joint_immediate,geometric_persistence,3,21,23,0.10617293506615866,0.8695652173913043,23
reserve10,joint_immediate,geometric_persistence,3,22,23,0.09919219617639144,0.9565217391304348,23
reserve10,joint_immediate,geometric_persistence,3,23,25,0.07598979869311949,1.0,25
reserve10,joint_immediate,geometric_persistence,4,0,22,0.0953212842644601,0.9545454545454546,22
reserve10,joint_immediate,geometric_persistence,4,1,22,0.09057922100348217,0.9545454545454546,22
reserve10,joint_immediate,geometric_persistence,4,2,20,0.09823502502707963,0.95,20
reserve10,joint_immediate,geometric_persistence,4,3,17,0.1392386483458795,0.8823529411764706,17
reserve10,joint_immediate,geometric_persistence,4,4,19,0.1107238532126175,0.9473684210526315,19
reserve10,joint_immediate,geometric_persistence,4,5,20,0.09829520975997694,1.0,20
reserve10,joint_immediate,geometric_persistence,4,6,23,0.1024994940537304,0.9565217391304348,23
reserve10,joint_immediate,geometric_persistence,4,7,21,0.10957788619930313,0.9523809523809523,21
reserve10,joint_immediate,geometric_persistence,4,8,23,0.11258376430054076,0.9130434782608695,23
reserve10,joint_immediate,geometric_persistence,4,9,23,0.11343465655278331,0.9565217391304348,23
reserve10,joint_immediate,geometric_persistence,4,10,23,0.11022592771958953,0.9565217391304348,23
reserve10,joint_immediate,geometric_persistence,4,11,23,0.11117635134338538,1.0,23
reserve10,joint_immediate,geometric_persistence,4,12,24,0.10566784946273967,0.875,24
reserve10,joint_immediate,geometric_persistence,4,13,21,0.1296049076155294,0.9047619047619048,21
reserve10,joint_immediate,geometric_persistence,4,14,24,0.12307961566493952,0.9166666666666666,24
reserve10,joint_immediate,geometric_persistence,4,15,25,0.12636662022794154,0.92,25
reserve10,joint_immediate,geometric_persistence,4,16,24,0.12807819260159345,0.9583333333333334,24
reserve10,joint_immediate,geometric_persistence,4,17,25,0.12858946362726875,0.88,25
reserve10,joint_immediate,geometric_persistence,4,18,27,0.1215978978178211,0.8518518518518519,27
reserve10,joint_immediate,geometric_persistence,4,19,27,0.11371874830645251,0.8518518518518519,27
reserve10,joint_immediate,geometric_persistence,4,20,23,0.12644911682130336,0.9130434782608695,23
reserve10,joint_immediate,geometric_persistence,4,21,23,0.11209148177407222,0.9130434782608695,23
reserve10,joint_immediate,geometric_persistence,4,22,25,0.09668529118849573,0.96,25
reserve10,joint_immediate,geometric_persistence,4,23,25,0.08027486692283298,0.92,25
reserve10,joint_immediate,mask50,1,0,22,0.04412002389478406,0.9090909090909091,22
reserve10,joint_immediate,mask50,1,1,24,0.038361707570675266,0.9583333333333334,24
reserve10,joint_immediate,mask50,1,2,25,0.039690140350661735,0.88,25
reserve10,joint_immediate,mask50,1,3,22,0.02650966384756237,0.9545454545454546,22
reserve10,joint_immediate,mask50,1,4,22,0.029479339285917516,1.0,22
reserve10,joint_immediate,mask50,1,5,20,0.034768491766898904,0.95,20
reserve10,joint_immediate,mask50,1,6,17,0.037166099080588676,1.0,17
reserve10,joint_immediate,mask50,1,7,19,0.035985649379345064,0.9473684210526315,19
reserve10,joint_immediate,mask50,1,8,20,0.04439549307724876,0.95,20
reserve10,joint_immediate,mask50,1,9,23,0.04024748011271918,0.9130434782608695,23
reserve10,joint_immediate,mask50,1,10,21,0.03543531611149593,0.9523809523809523,21
reserve10,joint_immediate,mask50,1,11,23,0.03759432841173322,0.8695652173913043,23
reserve10,joint_immediate,mask50,1,12,23,0.038318965776357614,0.8695652173913043,23
reserve10,joint_immediate,mask50,1,13,23,0.03475968031065446,0.7391304347826086,23
reserve10,joint_immediate,mask50,1,14,23,0.03827352755853608,0.8695652173913043,23
reserve10,joint_immediate,mask50,1,15,24,0.03046651522979109,0.875,24
reserve10,joint_immediate,mask50,1,16,21,0.040665147883665854,0.8095238095238095,21
reserve10,joint_immediate,mask50,1,17,24,0.02789960539216076,1.0,24
reserve10,joint_immediate,mask50,1,18,25,0.03721361292892634,0.88,25
reserve10,joint_immediate,mask50,1,19,24,0.041813271267954255,0.875,24
reserve10,joint_immediate,mask50,1,20,25,0.04427408292948292,0.84,25
reserve10,joint_immediate,mask50,1,21,27,0.026629965484205535,0.9259259259259259,27
reserve10,joint_immediate,mask50,1,22,27,0.03879364042654715,0.8888888888888888,27
reserve10,joint_immediate,mask50,1,23,23,0.04589456577694747,0.8260869565217391,23
reserve10,joint_immediate,mask50,2,0,24,0.04728244523602288,0.9583333333333334,24
reserve10,joint_immediate,mask50,2,1,25,0.04575655910080557,1.0,25
reserve10,joint_immediate,mask50,2,2,22,0.04503114132987218,0.9090909090909091,22
reserve10,joint_immediate,mask50,2,3,22,0.04031039247354635,1.0,22
reserve10,joint_immediate,mask50,2,4,20,0.03792742478384532,0.95,20
reserve10,joint_immediate,mask50,2,5,17,0.06021131326002792,1.0,17
reserve10,joint_immediate,mask50,2,6,19,0.045806359060953955,1.0,19
reserve10,joint_immediate,mask50,2,7,20,0.05410670733040633,0.95,20
reserve10,joint_immediate,mask50,2,8,23,0.056069978640357225,0.9130434782608695,23
reserve10,joint_immediate,mask50,2,9,21,0.05378069260553797,0.9523809523809523,21
reserve10,joint_immediate,mask50,2,10,23,0.05068810656524957,0.9565217391304348,23
reserve10,joint_immediate,mask50,2,11,23,0.05004577122876479,0.9565217391304348,23
reserve10,joint_immediate,mask50,2,12,23,0.04809385612683349,0.8695652173913043,23
reserve10,joint_immediate,mask50,2,13,23,0.05497889400848522,0.782608695652174,23
reserve10,joint_immediate,mask50,2,14,24,0.051482276911671704,0.875,24
reserve10,joint_immediate,mask50,2,15,21,0.06363058543449174,0.8571428571428571,21
reserve10,joint_immediate,mask50,2,16,24,0.05044528269265105,0.7916666666666666,24
reserve10,joint_immediate,mask50,2,17,25,0.04961313149581427,0.92,25
reserve10,joint_immediate,mask50,2,18,24,0.06191791868675541,0.7916666666666666,24
reserve10,joint_immediate,mask50,2,19,25,0.05622297494416469,0.92,25
reserve10,joint_immediate,mask50,2,20,27,0.0494276730474035,0.9259259259259259,27
reserve10,joint_immediate,mask50,2,21,27,0.04295118146557341,0.9259259259259259,27
reserve10,joint_immediate,mask50,2,22,23,0.0630695485843174,0.8260869565217391,23
reserve10,joint_immediate,mask50,2,23,23,0.06605538302274135,0.8260869565217391,23
reserve10,joint_immediate,mask50,3,0,25,0.043422482898580465,0.96,25
reserve10,joint_immediate,mask50,3,1,22,0.046422637318605076,1.0,22
reserve10,joint_immediate,mask50,3,2,22,0.04482744463208374,1.0,22
reserve10,joint_immediate,mask50,3,3,20,0.04192801781643955,0.95,20
reserve10,joint_immediate,mask50,3,4,17,0.0583927655131714,1.0,17
reserve10,joint_immediate,mask50,3,5,19,0.05741097016203294,0.9473684210526315,19
reserve10,joint_immediate,mask50,3,6,20,0.05845651879041236,0.9,20
reserve10,joint_immediate,mask50,3,7,23,0.05873836276221406,0.9130434782608695,23
reserve10,joint_immediate,mask50,3,8,21,0.06804274453895519,0.9047619047619048,21
reserve10,joint_immediate,mask50,3,9,23,0.05481190940903178,0.8695652173913043,23
reserve10,joint_immediate,mask50,3,10,23,0.05317947044373263,0.9130434782608695,23
reserve10,joint_immediate,mask50,3,11,23,0.056241968185239834,0.8260869565217391,23
reserve10,joint_immediate,mask50,3,12,23,0.06313656531450756,0.8260869565217391,23
reserve10,joint_immediate,mask50,3,13,24,0.05799917068731925,0.8333333333333334,24
reserve10,joint_immediate,mask50,3,14,21,0.07282131354143256,0.8095238095238095,21
reserve10,joint_immediate,mask50,3,15,24,0.059770410880937506,0.8333333333333334,24
reserve10,joint_immediate,mask50,3,16,25,0.06125455448729667,0.8,25
reserve10,joint_immediate,mask50,3,17,24,0.07113589129849314,0.8333333333333334,24
reserve10,joint_immediate,mask50,3,18,25,0.06548863066491793,0.88,25
reserve10,joint_immediate,mask50,3,19,27,0.055238255944884476,0.8518518518518519,27
reserve10,joint_immediate,mask50,3,20,27,0.052984849248089,0.8518518518518519,27
reserve10,joint_immediate,mask50,3,21,23,0.06010066554525069,0.8695652173913043,23
reserve10,joint_immediate,mask50,3,22,23,0.0716006378679619,0.8695652173913043,23
reserve10,joint_immediate,mask50,3,23,25,0.05358496003097588,0.8,25
reserve10,joint_immediate,mask50,4,0,22,0.04321532029361135,1.0,22
reserve10,joint_immediate,mask50,4,1,22,0.04556448495642995,1.0,22
reserve10,joint_immediate,mask50,4,2,20,0.04417286072018508,0.95,20
reserve10,joint_immediate,mask50,4,3,17,0.059866542454200485,1.0,17
reserve10,joint_immediate,mask50,4,4,19,0.061511079257843,1.0,19
reserve10,joint_immediate,mask50,4,5,20,0.0626165556444295,0.9,20
reserve10,joint_immediate,mask50,4,6,23,0.058541375102938116,0.9130434782608695,23
reserve10,joint_immediate,mask50,4,7,21,0.07021309652885205,0.8571428571428571,21
reserve10,joint_immediate,mask50,4,8,23,0.06198050975984098,0.8695652173913043,23
reserve10,joint_immediate,mask50,4,9,23,0.05623783911194225,0.9130434782608695,23
reserve10,joint_immediate,mask50,4,10,23,0.05517466953018364,0.8260869565217391,23
reserve10,joint_immediate,mask50,4,11,23,0.06517129509822768,0.8260869565217391,23
reserve10,joint_immediate,mask50,4,12,24,0.05996288892103902,0.8333333333333334,24
reserve10,joint_immediate,mask50,4,13,21,0.0810197925346243,0.8095238095238095,21
reserve10,joint_immediate,mask50,4,14,24,0.06396529919460762,0.7916666666666666,24
reserve10,joint_immediate,mask50,4,15,25,0.06822618210296741,0.8,25
reserve10,joint_immediate,mask50,4,16,24,0.07837695110279772,0.7916666666666666,24
reserve10,joint_immediate,mask50,4,17,25,0.06907444987836339,0.88,25
reserve10,joint_immediate,mask50,4,18,27,0.05720742239085638,0.8518518518518519,27
reserve10,joint_immediate,mask50,4,19,27,0.053317176167719145,0.8888888888888888,27
reserve10,joint_immediate,mask50,4,20,23,0.06254607708406282,0.9130434782608695,23
reserve10,joint_immediate,mask50,4,21,23,0.07163264749370825,0.8260869565217391,23
reserve10,joint_immediate,mask50,4,22,25,0.05605333739622315,0.84,25
reserve10,joint_immediate,mask50,4,23,25,0.04658945008250806,0.96,25
reserve10,joint_immediate,mi_recency,1,0,22,0.05015107751157897,0.9090909090909091,22
reserve10,joint_immediate,mi_recency,1,1,24,0.04542216907206841,0.9166666666666666,24
reserve10,joint_immediate,mi_recency,1,2,25,0.046831487058595876,0.84,25
reserve10,joint_immediate,mi_recency,1,3,22,0.027963912218579013,1.0,22
reserve10,joint_immediate,mi_recency,1,4,22,0.04080097348517038,0.8636363636363636,22
reserve10,joint_immediate,mi_recency,1,5,20,0.045071141350920337,0.85,20
reserve10,joint_immediate,mi_recency,1,6,17,0.03944806962187254,0.9411764705882353,17
reserve10,joint_immediate,mi_recency,1,7,19,0.0379752441385955,0.9473684210526315,19
reserve10,joint_immediate,mi_recency,1,8,20,0.052237709906652885,0.9,20
reserve10,joint_immediate,mi_recency,1,9,23,0.04004726121449291,0.8260869565217391,23
reserve10,joint_immediate,mi_recency,1,10,21,0.041443735303566744,0.8571428571428571,21
reserve10,joint_immediate,mi_recency,1,11,23,0.04523896049720877,0.9565217391304348,23
reserve10,joint_immediate,mi_recency,1,12,23,0.04569897951457275,0.8695652173913043,23
reserve10,joint_immediate,mi_recency,1,13,23,0.03388159883800375,0.9565217391304348,23
reserve10,joint_immediate,mi_recency,1,14,23,0.041734242407652666,0.9565217391304348,23
reserve10,joint_immediate,mi_recency,1,15,24,0.030942279250717023,0.9583333333333334,24
reserve10,joint_immediate,mi_recency,1,16,21,0.04543996654821725,0.9047619047619048,21
reserve10,joint_immediate,mi_recency,1,17,24,0.030773346057308845,0.9583333333333334,24
reserve10,joint_immediate,mi_recency,1,18,25,0.040384152025885516,0.92,25
reserve10,joint_immediate,mi_recency,1,19,24,0.046200560133683816,0.9583333333333334,24
reserve10,joint_immediate,mi_recency,1,20,25,0.04928427398695894,0.84,25
reserve10,joint_immediate,mi_recency,1,21,27,0.032133658468376715,0.9259259259259259,27
reserve10,joint_immediate,mi_recency,1,22,27,0.04371060757067924,0.9259259259259259,27
reserve10,joint_immediate,mi_recency,1,23,23,0.0571579726113293,0.8695652173913043,23
reserve10,joint_immediate,mi_recency,2,0,24,0.05516973728622992,0.9166666666666666,24
reserve10,joint_immediate,mi_recency,2,1,25,0.0559599130689928,0.92,25
reserve10,joint_immediate,mi_recency,2,2,22,0.04662693224409042,0.9545454545454546,22
reserve10,joint_immediate,mi_recency,2,3,22,0.04805728098189861,0.9545454545454546,22
reserve10,joint_immediate,mi_recency,2,4,20,0.03923127124887925,1.0,20
reserve10,joint_immediate,mi_recency,2,5,17,0.06688786742937808,0.7647058823529411,17
reserve10,joint_immediate,mi_recency,2,6,19,0.05796894828251778,0.8947368421052632,19
reserve10,joint_immediate,mi_recency,2,7,20,0.06412348442596966,0.85,20
reserve10,joint_immediate,mi_recency,2,8,23,0.06431214308078514,0.8695652173913043,23
reserve10,joint_immediate,mi_recency,2,9,21,0.05804179113306799,0.8571428571428571,21
reserve10,joint_immediate,mi_recency,2,10,23,0.06073544239811578,0.8260869565217391,23
reserve10,joint_immediate,mi_recency,2,11,23,0.05920782404672173,0.8695652173913043,23
reserve10,joint_immediate,mi_recency,2,12,23,0.05568597835737818,0.8260869565217391,23
reserve10,joint_immediate,mi_recency,2,13,23,0.058577499625308206,0.8695652173913043,23
reserve10,joint_immediate,mi_recency,2,14,24,0.05475786158909476,0.9166666666666666,24
reserve10,joint_immediate,mi_recency,2,15,21,0.06785188989980309,0.8571428571428571,21
reserve10,joint_immediate,mi_recency,2,16,24,0.044703015013366654,0.9583333333333334,24
reserve10,joint_immediate,mi_recency,2,17,25,0.05447531664652382,0.96,25
reserve10,joint_immediate,mi_recency,2,18,24,0.07208130594801093,0.875,24
reserve10,joint_immediate,mi_recency,2,19,25,0.06358712227088165,0.92,25
reserve10,joint_immediate,mi_recency,2,20,27,0.0570835492652388,0.9259259259259259,27
reserve10,joint_immediate,mi_recency,2,21,27,0.04649331338430359,0.9259259259259259,27
reserve10,joint_immediate,mi_recency,2,22,23,0.07873526151467872,0.8695652173913043,23
reserve10,joint_immediate,mi_recency,2,23,23,0.07358255476014904,0.8695652173913043,23
reserve10,joint_immediate,mi_recency,3,0,25,0.04688162822686105,1.0,25
reserve10,joint_immediate,mi_recency,3,1,22,0.05139845079052938,0.9545454545454546,22
reserve10,joint_immediate,mi_recency,3,2,22,0.05039629933648573,0.9545454545454546,22
reserve10,joint_immediate,mi_recency,3,3,20,0.04391498175383821,1.0,20
reserve10,joint_immediate,mi_recency,3,4,17,0.06315204834039427,0.9411764705882353,17
reserve10,joint_immediate,mi_recency,3,5,19,0.06593915963596203,0.8947368421052632,19
